Product Name,Long Description,Short Description,Supplier Source,Price,Currency,Stock,Category
Nescafé Gold Flat White Premix Coffee 15 Sticks x 20g,"NESCAFE GOLD Coffee Flat White Coffee <br><br>Every CUP of NESCAFE Gold Flat White is uniquely made with fine ingredients, craftsmanship and pure passion.<br>Every sip offers a surprisingly milky indulgent coffee cup<br>Made of mountain grown Arabica beans Perfectly roasted to deliver you perfect cup. A uniquely balanced cup, made for the ultimate indulgence.<br><br>1 x Nescafé Gold Flat White Premix Coffee 15 Sticks x 20g","NESCAFE GOLD Coffee Flat White Coffee 

Every CUP of NESCAFE Gold Flat White is uniquely made with fine ingredients, craftsmanship and pure passion.
Every sip offers a surprisingly milky indulgent coffee cup
Made of mountain grown Arabica beans Perfectly roasted to deliver you perfect cup. A uniquely balanced cup, made for the ultimate indulgence.

1 x Nescafé Gold Flat White Premix Coffee 15 Sticks x 20g",https://shopee.com.my/Nescaf%C3%A9-Gold-Flat-White-Premix-Coffee-15-Sticks-x-20g-i.120723581.5944918928?sp_atk=a7b466ea-d0e0-49be-beee-a6d4fb619e0b&xptdk=a7b466ea-d0e0-49be-beee-a6d4fb619e0b,13.99,MYR,40,Groceries
Softlan Charcoal Cupboard Fresh Fabric Conditioner 3L,"Features<br>Anti musty odor<br><br>Product Marketing<br>Up to** 60 washes<br>As compared to washing with detergent only.<br>**Based on handwash dosage (50ml).<br><br>Soft as a Mother's Touch<br>Softlan's Fabric Care treatment protects your fibres by coating and nourishing them, leaving clothes<br>Softer, fresher, Easier to iron, Static free, Less wrinkles, More comfortable to wear<br><br>Fabric Conditioner<br><br>Preparation and Storage<br>Preparation and Usage<br>Handwash<br>Pour Softlan into final rinse, agitate, then add clothes.<br>Machine Wash<br>Pour Softlan into dispenser or final rinse.<br>Note: Pour Softlan into water, not directly onto clothes.","Features
Anti musty odor

Product Marketing
Up to** 60 washes
As compared to washing with detergent only.
**Based on handwash dosage (50ml).

Soft as a Mother's Touch
Softlan's Fabric Care treatment protects your fibres by coating and nourishing them, leaving clothes
Softer, fresher, Easier to iron, Static free, Less wrinkles, More comfortable to wear

Fabric Conditioner

Preparation and Storage
Preparation and Usage
Handwash
Pour Softlan into final rinse, agitate, then add clothes.
Machine Wash
Pour Softlan into dispenser or final rinse.
Note: Pour Softlan into water, not directly onto clothes.",https://shopee.com.my/Softlan-Charcoal-Cupboard-Fresh-Fabric-Conditioner-3L-i.120723581.6570743173?sp_atk=f14f8a55-60a5-4498-bb13-2793a7543a2b&xptdk=f14f8a55-60a5-4498-bb13-2793a7543a2b,11.49,MYR,20,Groceries
Milo Activ-Go Softpack 1kg,"MILO ACTIV-GO Softpack 1kg<br><br>The original MILO® Malaysians know and love now features a new look! Mix up a mug in the morning with breakfast or for a quick pick-me-up whenever you want it! This chocolate malt beverage not only tastes good, it also gives you the energy to go further!","MILO ACTIV-GO Softpack 1kg

The original MILO® Malaysians know and love now features a new look! Mix up a mug in the morning with breakfast or for a quick pick-me-up whenever you want it! This chocolate malt beverage not only tastes good, it also gives you the energy to go further!",https://shopee.com.my/Milo-Activ-Go-Softpack-1kg-i.120723581.1843639868?sp_atk=ec25c07c-00ec-4afc-bfbb-ac883b652f4e&xptdk=ec25c07c-00ec-4afc-bfbb-ac883b652f4e,20.65,MYR,169,Groceries
Mr Muscle Lavender Fresh Discs Starter 38g,"eatures<br>Up to 6 weeks of freshness, Fight stains and long lasting fragrance!, Without your hands touching the toilet bowl!<br><br>Product Marketing<br>Fights stains that harbor germs*<br>*Helps prevents stains that harbor germs. Mr. Muscle® Fresh Discs formula leaves a flush activated protective shield all around the bowl that helps repel limescale.<br><br>Mr. Muscle® Fresh Discs keeps your toilet bowl clean with long lasting fragrance.<br><br>Large Button<br>Gel Dispenser<br>Blue Handle<br>Cap<br><br>Manufacturer Marketing<br>SC Johnson<br>A family company since 1886.<br>Fisk Johnson<br><br>Lavender Fresh Discs Starter","eatures
Up to 6 weeks of freshness, Fight stains and long lasting fragrance!, Without your hands touching the toilet bowl!

Product Marketing
Fights stains that harbor germs*
*Helps prevents stains that harbor germs. Mr. Muscle® Fresh Discs formula leaves a flush activated protective shield all around the bowl that helps repel limescale.

Mr. Muscle® Fresh Discs keeps your toilet bowl clean with long lasting fragrance.

Large Button
Gel Dispenser
Blue Handle
Cap

Manufacturer Marketing
SC Johnson
A family company since 1886.
Fisk Johnson

Lavender Fresh Discs Starter",https://shopee.com.my/Mr-Muscle-Lavender-Fresh-Discs-Starter-38g-i.120723581.6670737913?sp_atk=63be46ef-9ffb-4ea3-b561-289589ed547f&xptdk=63be46ef-9ffb-4ea3-b561-289589ed547f,9.9,MYR,2,Groceries
Febreze Ambi Fr - Blossom (320ml) + Breeze Refill,"FEBREZE with Ambi Pur Blossom and Breeze Fabric Refresher Refill (320ml)<br><br>With OdourClear Febreze odour elimination technology<br><br>Removes odours and 99.9% germs on fabric, tested on Staphylococcus aureus and Proteus mirabilis under lab condition<br><br>Febreze with Ambi Pur fabric refresher penetrates deep into the fabric and eliminates odours as it dries and removes 99.9% of odour-causing bacteria on fabric, tested on representative bacteria under lab condition","FEBREZE with Ambi Pur Blossom and Breeze Fabric Refresher Refill (320ml)

With OdourClear Febreze odour elimination technology

Removes odours and 99.9% germs on fabric, tested on Staphylococcus aureus and Proteus mirabilis under lab condition

Febreze with Ambi Pur fabric refresher penetrates deep into the fabric and eliminates odours as it dries and removes 99.9% of odour-causing bacteria on fabric, tested on representative bacteria under lab condition",https://shopee.com.my/Febreze-Ambi-Fr-Blossom-(320ml)-Breeze-Refill-i.120723581.1969976072?sp_atk=c2c54751-5a4c-42dd-b6b3-3383bcfa297a&xptdk=c2c54751-5a4c-42dd-b6b3-3383bcfa297a,8.99,MYR,3,Groceries
Ambi Gel Frsh R. Lemon 180Gx2,"Ambi Pur Room Fresh Gel Fresh Air Refreshing Lemon Gel Fresh 180GX2<br><br>Freshens any room with the relaxing fragrance of fresh lemons. <br><br>How to use:<br>Tear off the plastic film from the bottom section.<br>To release fragrance, grip the bottom section and pull up the upper portion till you hear a click.<br>Pull up to increase fragrance intensity, or push down to decrease. Each degree of fragrance is marked by a click.<br><br>Warnings:<br>USE ONLY AS DIRECTED. Keep out of reach of children and pets. IF SWALLOWED, do not induce vomiting; call physician or poison control center immediately. Do not expose product to direct sunlight, near heat or open flame. If eye or skin contact occurs, immediately rinse with plenty of water for 20 minutes. If eye irritation persists, consult a physician.","Ambi Pur Room Fresh Gel Fresh Air Refreshing Lemon Gel Fresh 180GX2

Freshens any room with the relaxing fragrance of fresh lemons. 

How to use:
Tear off the plastic film from the bottom section.
To release fragrance, grip the bottom section and pull up the upper portion till you hear a click.
Pull up to increase fragrance intensity, or push down to decrease. Each degree of fragrance is marked by a click.

Warnings:
USE ONLY AS DIRECTED. Keep out of reach of children and pets. IF SWALLOWED, do not induce vomiting; call physician or poison control center immediately. Do not expose product to direct sunlight, near heat or open flame. If eye or skin contact occurs, immediately rinse with plenty of water for 20 minutes. If eye irritation persists, consult a physician.",https://shopee.com.my/Ambi-Gel-Frsh-R.-Lemon-180Gx2-i.120723581.1996779528?sp_atk=8272e956-df79-4004-b86a-520c733bd192&xptdk=8272e956-df79-4004-b86a-520c733bd192,15.99,MYR,6,Groceries
Dynamo Concentrated Power Gel 1.6kg,"Welcome to where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!","Welcome to where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!",https://shopee.com.my/Dynamo-Concentrated-Power-Gel-1.6kg-i.120723581.2014536775?sp_atk=c4e56d89-22e9-4fb5-a299-c25fdab8db45&xptdk=c4e56d89-22e9-4fb5-a299-c25fdab8db45,15.99,MYR,56,Groceries
Sin Sing Coffee O (100's x 10g),"Welcome to  where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!<br>","Welcome to  where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!",https://shopee.com.my/Sin-Sing-Coffee-O-(100's-x-10g)-i.120723581.2078846595?sp_atk=06a57cb5-d244-4e76-b857-91ea6826062c&xptdk=06a57cb5-d244-4e76-b857-91ea6826062c,19.99,MYR,14,Groceries
Harpic Liq White And Shine (2 x 500ml),"Welcome to  where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!","Welcome to  where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!",https://shopee.com.my/Harpic-Liq-White-And-Shine-(2-x-500ml)-i.120723581.2263381401?sp_atk=3a6cc1e7-6caf-4ed9-99a7-559e25a69b19&xptdk=3a6cc1e7-6caf-4ed9-99a7-559e25a69b19,11.19,MYR,3,Groceries
Top Clean Liquid Laundry Colour Protect 4Kg,"TOP Colour Protect Liquid Detergent - Vibrant Colours<br>Protects fabric colours while cleaning visible and unseen stains that dull them, revealing your clothes' vibrancy so they look as good as new.<br><br>TOP Liquid Laundry Detergents are also available in:<br>- Stain Buster<br>- Brilliant Clean<br>- Blooming Pleasures<br>- Odour Buster<br><br>The new TOP Micro-Clean Tech features the Anti Sebum innovation that penetrates deeply into the fibre core to lift out trapped sebum and sweat stains effectively.<br><br>Micro-Clean Tech cleans both visible and invisible stains so your laundry is hygienically clean.<br><br>TOP Micro-Clean Tech is:- <br>Anti Sebum - pulls out trapped sweat and body oil<br>99.9% Anti Mite-Dust - removes 99.9%* of mite-dust<br>Anti Malodour - prevents malodour<br>99.9% Anti Bacteria - eliminates 99.9%* of bacteria<br>","TOP Colour Protect Liquid Detergent - Vibrant Colours
Protects fabric colours while cleaning visible and unseen stains that dull them, revealing your clothes' vibrancy so they look as good as new.

TOP Liquid Laundry Detergents are also available in:
- Stain Buster
- Brilliant Clean
- Blooming Pleasures
- Odour Buster

The new TOP Micro-Clean Tech features the Anti Sebum innovation that penetrates deeply into the fibre core to lift out trapped sebum and sweat stains effectively.

Micro-Clean Tech cleans both visible and invisible stains so your laundry is hygienically clean.

TOP Micro-Clean Tech is:- 
Anti Sebum - pulls out trapped sweat and body oil
99.9% Anti Mite-Dust - removes 99.9%* of mite-dust
Anti Malodour - prevents malodour
99.9% Anti Bacteria - eliminates 99.9%* of bacteria",https://shopee.com.my/Top-Clean-Liquid-Laundry-Colour-Protect-4Kg-i.120723581.2283759282?sp_atk=3dd792b6-1b30-4148-97d8-05ed83b0afd2&xptdk=3dd792b6-1b30-4148-97d8-05ed83b0afd2,22.99,MYR,41,Groceries
